GBW, Gain, Pdiss, Fitness, time, performance weight, solution vector, solution path
29487200.0,125.868,0.0106965,-9.440391839941384,2025-0521-174259,"[1, 1, 1]","[4.30230099e-04 8.12705121e-07 8.70168328e-04 9.95154231e-07
 2.74125496e-04 6.92339133e-07 8.42413939e-05 9.15647289e-07
 8.64219781e-04 8.52489586e-07 9.57794439e-05 1.18401116e-06
 1.33311433e-04 7.94914648e-07 5.00352371e-04 5.99093362e-07
 6.59168023e-04 5.13263080e-07 1.65993206e-04 1.34658202e-06
 7.01450133e-05 1.83319321e-06 6.11761768e-04 1.50826783e-06
 7.10421540e-04 1.99940620e-06 8.14694862e-04 1.38983434e-06
 9.77026659e-13 2.14929532e-12]",STALE
15443500.0,136.969,0.00253255,-9.785187704056668,2025-0521-174259,"[1, 1, 1]","[3.52820564e-04 6.41096452e-07 3.78808820e-04 8.84877403e-07
 2.74125496e-04 1.41371116e-06 2.47558459e-04 5.74969633e-07
 6.62217355e-04 8.52489586e-07 4.52739631e-05 1.18401116e-06
 5.30553253e-04 1.06617674e-06 9.81522598e-04 5.03800449e-07
 2.11382720e-04 6.41795837e-07 1.97472169e-06 9.57894832e-07
 2.83998111e-04 1.65576864e-06 1.83946300e-04 1.67169801e-06
 4.52806587e-04 1.99940620e-06 8.14694862e-04 1.49221181e-06
 7.86185117e-13 2.10570748e-12]",STALE
15655900.0,135.938,0.00416136,-9.57544275034828,2025-0521-174259,"[1, 1, 1]","[3.12347673e-04 7.60054526e-07 6.37249770e-04 9.42323652e-07
 5.61945421e-04 1.39309657e-06 8.42413939e-05 9.15647289e-07
 6.59412208e-04 6.82738760e-07 5.36300437e-05 1.32138337e-06
 2.68121229e-04 1.12402674e-06 9.78832324e-04 8.23493196e-07
 2.11382720e-04 5.00915499e-07 5.76112014e-05 1.03894995e-06
 7.58242884e-04 1.95835171e-06 3.49411725e-04 1.50826783e-06
 9.54196627e-04 1.99940620e-06 7.49841486e-04 1.89907718e-06
 8.34844441e-13 2.16380619e-12]",STALE
6055120.0,137.287,0.00370484,-9.213353297433006,2025-0521-174323,"[1, 1, 1]","[4.77076019e-04 7.91167199e-07 7.09417636e-04 9.48857294e-07
 2.74125496e-04 1.41371116e-06 1.47326534e-04 7.04762913e-07
 6.62217355e-04 8.52489586e-07 1.67099293e-05 1.18401116e-06
 4.14162886e-04 1.06617674e-06 9.81522598e-04 5.03800449e-07
 3.42006930e-04 6.41795837e-07 1.87796293e-04 9.70040727e-07
 7.31110655e-04 1.65576864e-06 4.03791167e-04 1.67169801e-06
 4.86686184e-04 1.95156322e-06 9.15564296e-04 1.49221181e-06
 8.70190182e-13 2.06608418e-12]",STALE
15078400.0,138.571,0.00346522,-9.638624447773642,2025-0521-174323,"[1, 1, 1]","[3.52820564e-04 6.37479236e-07 3.78808820e-04 9.59618036e-07
 7.22339267e-04 1.37279059e-06 1.36402568e-04 9.48206957e-07
 6.62217355e-04 1.31394577e-06 4.52739631e-05 1.18401116e-06
 3.02505575e-04 8.99286993e-07 7.85994492e-04 5.03800449e-07
 2.11382720e-04 6.41795837e-07 1.96985460e-04 8.57976433e-07
 1.15189942e-04 1.65576864e-06 3.93096185e-04 1.67169801e-06
 7.50151248e-04 1.83155601e-06 8.14694862e-04 1.46108210e-06
 1.32442874e-12 2.07613150e-12]",STALE
18288300.0,138.427,0.00245443,-9.872222686651403,2025-0521-174323,"[1, 1, 1]","[6.48768000e-04 6.41096452e-07 9.26885978e-04 8.84877403e-07
 2.74125496e-04 8.29713561e-07 2.05431204e-04 1.14133492e-06
 5.64215559e-04 8.52489586e-07 8.16744924e-05 1.97045475e-06
 5.30553253e-04 1.25815710e-06 9.53267003e-04 5.03800449e-07
 1.60970932e-04 6.41795837e-07 1.85376939e-04 9.57894832e-07
 5.95238217e-04 1.65576864e-06 1.83946300e-04 1.90171700e-06
 4.52806587e-04 1.99940620e-06 8.38304961e-04 1.49221181e-06
 1.61225956e-12 2.16114840e-12]",STALE
13341700.0,136.809,0.00192711,-9.840304665909883,2025-0521-174323,"[1, 1, 1]","[3.52820564e-04 6.41096452e-07 5.89770393e-04 7.76852410e-07
 4.81264731e-04 8.10480972e-07 2.47558459e-04 7.84285385e-07
 6.62217355e-04 1.07804379e-06 4.52739631e-05 1.18401116e-06
 3.82413103e-04 7.28682506e-07 5.43913713e-04 9.94418887e-07
 5.63497568e-05 6.41795837e-07 1.89633615e-04 9.57894832e-07
 7.36715277e-04 1.65576864e-06 1.83946300e-04 1.67169801e-06
 6.19180028e-04 1.94164425e-06 3.84773122e-04 1.99033128e-06
 5.32831827e-13 2.44360098e-12]",STALE
14039200.0,137.728,0.00232278,-9.781334283024101,2025-0521-174349,"[1, 1, 1]","[3.28849122e-04 9.29759219e-07 3.64468987e-04 8.84877403e-07
 2.74125496e-04 8.29713561e-07 1.74235176e-04 1.14133492e-06
 3.67886070e-04 7.89054305e-07 6.26039460e-05 1.55057916e-06
 3.42385147e-05 1.12809297e-06 4.01027752e-04 5.03800449e-07
 1.60970932e-04 6.41795837e-07 4.70519006e-04 9.57894832e-07
 5.95238217e-04 1.65576864e-06 4.05795320e-04 8.51992548e-07
 6.58223691e-04 1.96121606e-06 8.38304961e-04 1.49221181e-06
 9.81767058e-13 2.66249019e-12]",STALE
21690300.0,139.627,0.00357663,-9.782791543815241,2025-0521-174349,"[1, 1, 1]","[6.20614300e-04 8.49666225e-07 5.10804842e-04 1.15225040e-06
 2.63994302e-04 7.11402744e-07 2.91129788e-04 1.22045367e-06
 2.01614811e-05 1.64815271e-06 6.99939054e-05 8.09820555e-07
 3.62463400e-05 1.15126942e-06 6.43872747e-04 1.43017006e-06
 9.44194968e-04 1.20235370e-06 3.79321771e-04 6.51451559e-07
 3.81410239e-04 5.25251457e-07 7.19472623e-04 1.12137125e-06
 6.40435331e-04 7.71560526e-07 1.37074289e-04 6.30466010e-07
 2.02177266e-12 2.78459448e-12]",STALE
21811400.0,133.034,0.00379446,-9.759533563376188,2025-0521-174349,"[1, 1, 1]","[6.48768000e-04 6.41096452e-07 9.26885978e-04 8.84877403e-07
 2.74125496e-04 5.50209299e-07 2.05431204e-04 5.49066057e-07
 5.41164197e-04 8.52489586e-07 4.42962007e-05 8.82387027e-07
 5.30553253e-04 1.67094177e-06 9.53267003e-04 7.99527645e-07
 3.27372874e-04 7.19224173e-07 1.85376939e-04 1.01339148e-06
 3.13607640e-04 1.54826567e-06 3.91424235e-04 1.90171700e-06
 3.66982906e-04 8.08078662e-07 8.38304961e-04 1.49221181e-06
 1.61225956e-12 1.67199510e-12]",STALE
