epoch,total_loss,l1_param,l2_perf_db,l3_perf_gen,sim_calls_per_epoch
0,6836.1234130859375,6836.1234130859375,0,0,0
1,6285.9583740234375,6285.9583740234375,0,0,0
2,6238.480895996094,6238.480895996094,0,0,0
3,6380.007751464844,6380.007751464844,0,0,0
4,6126.5223388671875,6126.5223388671875,0,0,0
5,6505.951232910156,6505.951232910156,0,0,0
6,6864.264709472656,6864.264709472656,0,0,0
7,6655.753265380859,6655.753265380859,0,0,0
8,6153.725769042969,6153.725769042969,0,0,0
9,6261.489196777344,6261.489196777344,0,0,0
10,6133.3328857421875,6133.3328857421875,0,0,0
11,6118.7054443359375,6118.7054443359375,0,0,0
12,6153.554748535156,6153.554748535156,0,0,0
13,6129.2723388671875,6129.2723388671875,0,0,0
14,6562.4010009765625,6562.4010009765625,0,0,0
15,5950.251495361328,5950.251495361328,0,0,0
16,5890.8626708984375,5890.8626708984375,0,0,0
17,5865.0806884765625,5865.0806884765625,0,0,0
18,5761.18701171875,5761.18701171875,0,0,0
19,5960.0791015625,5960.0791015625,0,0,0
20,5835.450500488281,5835.450500488281,0,0,0
21,5565.964050292969,5565.964050292969,0,0,0
22,6207.2679443359375,6207.2679443359375,0,0,0
23,5636.2791748046875,5636.2791748046875,0,0,0
24,5751.3282470703125,5751.3282470703125,0,0,0
25,6016.893096923828,6016.893096923828,0,0,0
26,5563.10986328125,5563.10986328125,0,0,0
27,5414.823516845703,5414.823516845703,0,0,0
28,5469.912902832031,5469.912902832031,0,0,0
29,5275.707214355469,5275.707214355469,0,0,0
30,5427.815734863281,5427.815734863281,0,0,0
31,5318.0428466796875,5318.0428466796875,0,0,0
32,5203.265380859375,5203.265380859375,0,0,0
33,5527.0880126953125,5527.0880126953125,0,0,0
34,5259.5361328125,5259.5361328125,0,0,0
35,5397.815185546875,5397.815185546875,0,0,0
36,5050.0704345703125,5050.0704345703125,0,0,0
37,5281.507263183594,5281.507263183594,0,0,0
38,4962.047180175781,4962.047180175781,0,0,0
39,5141.940399169922,5141.940399169922,0,0,0
40,4879.995269775391,4879.995269775391,0,0,0
41,4839.985168457031,4839.985168457031,0,0,0
42,4765.809875488281,4765.809875488281,0,0,0
43,4690.375793457031,4690.375793457031,0,0,0
44,4723.131103515625,4723.131103515625,0,0,0
45,4912.103210449219,4912.103210449219,0,0,0
46,4685.505798339844,4685.505798339844,0,0,0
47,4702.9522705078125,4702.9522705078125,0,0,0
48,4512.585006713867,4512.585006713867,0,0,0
49,4737.039154052734,4737.039154052734,0,0,0
50,4542.832702636719,4542.832702636719,0,0,0
51,4634.28857421875,4634.28857421875,0,0,0
52,4615.612854003906,4615.612854003906,0,0,0
53,4736.01416015625,4736.01416015625,0,0,0
54,4667.109283447266,4667.109283447266,0,0,0
55,4395.452545166016,4395.452545166016,0,0,0
56,4254.069549560547,4254.069549560547,0,0,0
57,4901.833068847656,4901.833068847656,0,0,0
58,4318.770172119141,4318.770172119141,0,0,0
59,4491.221343994141,4491.221343994141,0,0,0
60,4190.868347167969,4190.868347167969,0,0,0
61,4259.7406005859375,4259.7406005859375,0,0,0
62,4015.09375,4015.09375,0,0,0
63,4227.353454589844,4227.353454589844,0,0,0
64,4344.027282714844,4344.027282714844,0,0,0
65,3904.4221801757812,3904.4221801757812,0,0,0
66,3916.429412841797,3916.429412841797,0,0,0
67,3963.202606201172,3963.202606201172,0,0,0
68,4236.847076416016,4236.847076416016,0,0,0
69,3894.833526611328,3894.833526611328,0,0,0
70,3862.1542358398438,3862.1542358398438,0,0,0
71,4033.2540283203125,4033.2540283203125,0,0,0
72,3859.9293823242188,3859.9293823242188,0,0,0
73,3760.9357299804688,3760.9357299804688,0,0,0
74,3495.442825317383,3495.442825317383,0,0,0
75,3698.5257568359375,3698.5257568359375,0,0,0
76,3656.2938842773438,3656.2938842773438,0,0,0
77,3582.3929138183594,3582.3929138183594,0,0,0
78,3451.73876953125,3451.73876953125,0,0,0
79,3525.8291625976562,3525.8291625976562,0,0,0
80,3791.9368286132812,3791.9368286132812,0,0,0
81,3393.317626953125,3393.317626953125,0,0,0
82,3393.8252868652344,3393.8252868652344,0,0,0
83,3315.2257690429688,3315.2257690429688,0,0,0
84,3210.5579223632812,3210.5579223632812,0,0,0
85,3387.4830322265625,3387.4830322265625,0,0,0
86,3305.8213958740234,3305.8213958740234,0,0,0
87,3298.657196044922,3298.657196044922,0,0,0
88,3246.758529663086,3246.758529663086,0,0,0
89,2979.0657653808594,2979.0657653808594,0,0,0
90,3448.904754638672,3448.904754638672,0,0,0
91,3027.9232788085938,3027.9232788085938,0,0,0
92,2887.4378967285156,2887.4378967285156,0,0,0
93,2907.142532348633,2907.142532348633,0,0,0
94,2834.4854431152344,2834.4854431152344,0,0,0
95,2903.8043518066406,2903.8043518066406,0,0,0
96,3060.946090698242,3060.946090698242,0,0,0
97,2871.6610412597656,2871.6610412597656,0,0,0
98,2966.9981689453125,2966.9981689453125,0,0,0
99,2928.0166931152344,2928.0166931152344,0,0,0
100,2614.3549194335938,2614.3549194335938,0,0,0
101,2641.467300415039,2641.467300415039,0,0,0
102,2579.1027221679688,2579.1027221679688,0,0,0
103,2793.3357849121094,2793.3357849121094,0,0,0
104,2643.5386962890625,2643.5386962890625,0,0,0
105,2706.5226440429688,2706.5226440429688,0,0,0
106,2338.765350341797,2338.765350341797,0,0,0
107,2511.774139404297,2511.774139404297,0,0,0
108,2654.8369750976562,2654.8369750976562,0,0,0
109,2358.4381408691406,2358.4381408691406,0,0,0
110,2575.5011291503906,2575.5011291503906,0,0,0
111,2268.3599395751953,2268.3599395751953,0,0,0
112,2217.9932556152344,2217.9932556152344,0,0,0
113,2401.571746826172,2401.571746826172,0,0,0
114,2344.3177032470703,2344.3177032470703,0,0,0
115,2362.8642578125,2362.8642578125,0,0,0
116,2154.3240661621094,2154.3240661621094,0,0,0
117,2189.8917846679688,2189.8917846679688,0,0,0
118,2297.308624267578,2297.308624267578,0,0,0
119,2161.073928833008,2161.073928833008,0,0,0
120,2038.2164154052734,2038.2164154052734,0,0,0
121,2011.1714324951172,2011.1714324951172,0,0,0
122,2221.3908081054688,2221.3908081054688,0,0,0
123,1887.3362121582031,1887.3362121582031,0,0,0
124,2151.557098388672,2151.557098388672,0,0,0
125,2005.7334899902344,2005.7334899902344,0,0,0
126,2026.8723907470703,2026.8723907470703,0,0,0
127,2008.577247619629,2008.577247619629,0,0,0
128,1760.0703430175781,1760.0703430175781,0,0,0
129,1653.2672576904297,1653.2672576904297,0,0,0
130,1860.2561340332031,1860.2561340332031,0,0,0
131,1835.401138305664,1835.401138305664,0,0,0
132,1812.104476928711,1812.104476928711,0,0,0
133,1615.9261016845703,1615.9261016845703,0,0,0
134,1704.7733001708984,1704.7733001708984,0,0,0
135,1640.5880126953125,1640.5880126953125,0,0,0
136,1666.899398803711,1666.899398803711,0,0,0
137,1838.9216232299805,1838.9216232299805,0,0,0
138,1566.3664855957031,1566.3664855957031,0,0,0
139,1482.3399353027344,1482.3399353027344,0,0,0
140,1625.1737518310547,1625.1737518310547,0,0,0
141,1472.3350372314453,1472.3350372314453,0,0,0
142,1329.6735763549805,1329.6735763549805,0,0,0
143,1621.9137573242188,1621.9137573242188,0,0,0
144,1478.4000396728516,1478.4000396728516,0,0,0
145,1739.8466033935547,1739.8466033935547,0,0,0
146,1634.0901489257812,1634.0901489257812,0,0,0
147,1428.6542358398438,1428.6542358398438,0,0,0
148,1498.5305633544922,1498.5305633544922,0,0,0
149,1308.0663299560547,1308.0663299560547,0,0,0
150,1307.1384658813477,1307.1384658813477,0,0,0
151,1324.5062942504883,1324.5062942504883,0,0,0
152,1278.1999969482422,1278.1999969482422,0,0,0
153,1268.0315856933594,1268.0315856933594,0,0,0
154,1224.4767532348633,1224.4767532348633,0,0,0
155,1271.2984466552734,1271.2984466552734,0,0,0
156,1387.1649780273438,1387.1649780273438,0,0,0
157,1274.9461288452148,1274.9461288452148,0,0,0
158,1310.465431213379,1310.465431213379,0,0,0
159,1317.4777069091797,1317.4777069091797,0,0,0
160,1198.9130096435547,1198.9130096435547,0,0,0
161,1163.8184661865234,1163.8184661865234,0,0,0
162,1219.2593078613281,1219.2593078613281,0,0,0
163,1136.2750549316406,1136.2750549316406,0,0,0
164,1017.1298522949219,1017.1298522949219,0,0,0
165,1133.9369812011719,1133.9369812011719,0,0,0
166,1093.7573852539062,1093.7573852539062,0,0,0
167,918.9113998413086,918.9113998413086,0,0,0
168,1070.3564682006836,1070.3564682006836,0,0,0
169,1045.3475799560547,1045.3475799560547,0,0,0
170,1082.635082244873,1082.635082244873,0,0,0
171,1177.3690185546875,1177.3690185546875,0,0,0
172,951.8548049926758,951.8548049926758,0,0,0
173,966.0788192749023,966.0788192749023,0,0,0
174,1076.4683227539062,1076.4683227539062,0,0,0
