epoch,total_loss,l1_param,l2_perf_db,l3_perf_gen,sim_calls_per_epoch
0,5082.576281738281,5082.576281738281,0,0,0
1,4961.783361816406,4961.783361816406,0,0,0
2,5053.239056396485,5053.239056396485,0,0,0
3,5011.179272460938,5011.179272460938,0,0,0
4,4895.1778564453125,4895.1778564453125,0,0,0
5,4692.348791503906,4692.348791503906,0,0,0
6,4756.975744628906,4756.975744628906,0,0,0
7,4852.924743652344,4852.924743652344,0,0,0
8,4969.088659667968,4969.088659667968,0,0,0
9,4873.795812988281,4873.795812988281,0,0,0
10,4886.092376708984,4886.092376708984,0,0,0
11,4749.982836914062,4749.982836914062,0,0,0
12,4747.227081298828,4747.227081298828,0,0,0
13,4634.273132324219,4634.273132324219,0,0,0
14,4733.688330078125,4733.688330078125,0,0,0
15,4737.882678222656,4737.882678222656,0,0,0
16,4731.224670410156,4731.224670410156,0,0,0
17,4658.147589111328,4658.147589111328,0,0,0
18,4635.691918945313,4635.691918945313,0,0,0
19,4584.803332519531,4584.803332519531,0,0,0
20,4733.701953125,4733.701953125,0,0,0
21,4713.821063232422,4713.821063232422,0,0,0
22,4584.664172363281,4584.664172363281,0,0,0
23,4681.293310546875,4681.293310546875,0,0,0
24,4494.982946777343,4494.982946777343,0,0,0
25,4421.220294189453,4421.220294189453,0,0,0
26,4555.779370117188,4555.779370117188,0,0,0
27,4391.3005859375,4391.3005859375,0,0,0
28,4553.948095703125,4553.948095703125,0,0,0
29,4555.9591064453125,4555.9591064453125,0,0,0
30,4467.070947265625,4467.070947265625,0,0,0
31,4437.729528808593,4437.729528808593,0,0,0
32,4388.460461425781,4388.460461425781,0,0,0
33,4345.3107238769535,4345.3107238769535,0,0,0
34,4458.169958496093,4458.169958496093,0,0,0
35,4334.22728881836,4334.22728881836,0,0,0
36,4401.457879638672,4401.457879638672,0,0,0
37,4437.100646972656,4437.100646972656,0,0,0
38,4386.40202331543,4386.40202331543,0,0,0
39,4332.820892333984,4332.820892333984,0,0,0
40,4169.038562011719,4169.038562011719,0,0,0
41,4193.158850097656,4193.158850097656,0,0,0
42,4259.17265625,4259.17265625,0,0,0
43,4093.4391967773436,4093.4391967773436,0,0,0
44,4322.335614013672,4322.335614013672,0,0,0
45,4175.185534667969,4175.185534667969,0,0,0
46,4308.917227172851,4308.917227172851,0,0,0
47,4226.774768066406,4226.774768066406,0,0,0
48,4118.8125671386715,4118.8125671386715,0,0,0
49,4098.664416503906,4098.664416503906,0,0,0
50,3959.603240966797,3959.603240966797,0,0,0
51,3938.7090576171877,3938.7090576171877,0,0,0
52,4108.460693359375,4108.460693359375,0,0,0
53,3724.579968261719,3724.579968261719,0,0,0
54,3930.24501953125,3930.24501953125,0,0,0
55,4089.643029785156,4089.643029785156,0,0,0
56,4034.557794189453,4034.557794189453,0,0,0
57,3959.2626556396485,3959.2626556396485,0,0,0
58,3903.945001220703,3903.945001220703,0,0,0
59,3839.1345947265627,3839.1345947265627,0,0,0
60,3809.9254150390625,3809.9254150390625,0,0,0
61,3981.6954345703125,3981.6954345703125,0,0,0
62,3746.8285522460938,3746.8285522460938,0,0,0
63,3657.961315917969,3657.961315917969,0,0,0
64,3644.4575073242186,3644.4575073242186,0,0,0
65,3691.7590576171874,3691.7590576171874,0,0,0
66,3592.8919311523437,3592.8919311523437,0,0,0
67,3908.3001098632812,3908.3001098632812,0,0,0
68,3735.8606811523437,3735.8606811523437,0,0,0
69,3607.2532592773437,3607.2532592773437,0,0,0
70,3591.078076171875,3591.078076171875,0,0,0
71,3470.1020782470705,3470.1020782470705,0,0,0
72,3788.639404296875,3788.639404296875,0,0,0
73,3528.0108154296877,3528.0108154296877,0,0,0
74,3573.408801269531,3573.408801269531,0,0,0
75,3716.510467529297,3716.510467529297,0,0,0
76,3687.505651855469,3687.505651855469,0,0,0
77,3378.474890136719,3378.474890136719,0,0,0
78,3441.5179748535156,3441.5179748535156,0,0,0
79,3390.4856079101564,3390.4856079101564,0,0,0
80,3475.3020202636717,3475.3020202636717,0,0,0
81,3388.059954833984,3388.059954833984,0,0,0
82,3202.428369140625,3202.428369140625,0,0,0
83,3436.179333496094,3436.179333496094,0,0,0
84,3378.4662475585938,3378.4662475585938,0,0,0
85,3166.338250732422,3166.338250732422,0,0,0
86,3342.362615966797,3342.362615966797,0,0,0
87,3242.9593505859375,3242.9593505859375,0,0,0
88,3242.8974609375,3242.8974609375,0,0,0
89,3296.891424560547,3296.891424560547,0,0,0
90,3049.382434082031,3049.382434082031,0,0,0
91,2989.9748413085936,2989.9748413085936,0,0,0
92,3181.433709716797,3181.433709716797,0,0,0
93,3228.633123779297,3228.633123779297,0,0,0
94,3148.508679199219,3148.508679199219,0,0,0
95,3091.779360961914,3091.779360961914,0,0,0
96,2975.228137207031,2975.228137207031,0,0,0
97,2840.0115173339846,2840.0115173339846,0,0,0
98,3268.3838745117187,3268.3838745117187,0,0,0
99,5264.432592773437,2959.794323730469,3445.3584594726562,1939.8634177207946,460
