epoch,total_loss,l1_param,l2_perf_db,l3_perf_gen,sim_calls_per_epoch
0,6856.44140625,6856.44140625,0,0,0
1,6880.8818359375,6880.8818359375,0,0,0
2,6856.23583984375,6856.23583984375,0,0,0
3,6853.76513671875,6853.76513671875,0,0,0
4,6686.2509765625,6686.2509765625,0,0,0
5,6842.56591796875,6842.56591796875,0,0,0
6,6747.869140625,6747.869140625,0,0,0
7,6741.0302734375,6741.0302734375,0,0,0
8,6775.0517578125,6775.0517578125,0,0,0
9,6736.17626953125,6736.17626953125,0,0,0
10,6823.28515625,6823.28515625,0,0,0
11,6697.18994140625,6697.18994140625,0,0,0
12,6732.67529296875,6732.67529296875,0,0,0
13,6799.99560546875,6799.99560546875,0,0,0
14,6692.3955078125,6692.3955078125,0,0,0
15,6661.7529296875,6661.7529296875,0,0,0
16,6644.2626953125,6644.2626953125,0,0,0
17,6645.29833984375,6645.29833984375,0,0,0
18,6539.34521484375,6539.34521484375,0,0,0
19,6488.81005859375,6488.81005859375,0,0,0
20,6449.51513671875,6449.51513671875,0,0,0
21,6646.99658203125,6646.99658203125,0,0,0
22,6631.94140625,6631.94140625,0,0,0
23,6700.38720703125,6700.38720703125,0,0,0
24,6590.58203125,6590.58203125,0,0,0
25,6578.3466796875,6578.3466796875,0,0,0
26,6518.599609375,6518.599609375,0,0,0
27,6548.09814453125,6548.09814453125,0,0,0
28,6504.19921875,6504.19921875,0,0,0
29,6482.43115234375,6482.43115234375,0,0,0
30,6486.24560546875,6486.24560546875,0,0,0
31,6539.18359375,6539.18359375,0,0,0
32,6465.10888671875,6465.10888671875,0,0,0
33,6433.75634765625,6433.75634765625,0,0,0
34,6318.25244140625,6318.25244140625,0,0,0
35,6371.57275390625,6371.57275390625,0,0,0
36,6362.8740234375,6362.8740234375,0,0,0
37,6285.61669921875,6285.61669921875,0,0,0
38,6374.56982421875,6374.56982421875,0,0,0
39,6340.4482421875,6340.4482421875,0,0,0
40,6382.9638671875,6382.9638671875,0,0,0
41,6376.31982421875,6376.31982421875,0,0,0
42,6384.21923828125,6384.21923828125,0,0,0
43,6199.18603515625,6199.18603515625,0,0,0
44,6199.77880859375,6199.77880859375,0,0,0
45,6229.70361328125,6229.70361328125,0,0,0
46,6351.10888671875,6351.10888671875,0,0,0
47,6274.69775390625,6274.69775390625,0,0,0
48,6187.6015625,6187.6015625,0,0,0
49,6132.6572265625,6132.6572265625,0,0,0
50,6164.09423828125,6164.09423828125,0,0,0
51,6256.1357421875,6256.1357421875,0,0,0
52,6124.2080078125,6124.2080078125,0,0,0
53,6207.2822265625,6207.2822265625,0,0,0
54,6041.6982421875,6041.6982421875,0,0,0
55,6173.90380859375,6173.90380859375,0,0,0
56,6039.83251953125,6039.83251953125,0,0,0
57,6022.8037109375,6022.8037109375,0,0,0
58,6076.4462890625,6076.4462890625,0,0,0
59,6165.568359375,6165.568359375,0,0,0
60,6046.96435546875,6046.96435546875,0,0,0
61,6060.81298828125,6060.81298828125,0,0,0
62,6171.85302734375,6171.85302734375,0,0,0
63,6086.076171875,6086.076171875,0,0,0
64,6028.7841796875,6028.7841796875,0,0,0
65,6069.57763671875,6069.57763671875,0,0,0
66,5961.3544921875,5961.3544921875,0,0,0
67,6078.53759765625,6078.53759765625,0,0,0
68,5987.55517578125,5987.55517578125,0,0,0
69,6022.3330078125,6022.3330078125,0,0,0
70,5906.5126953125,5906.5126953125,0,0,0
71,5976.31689453125,5976.31689453125,0,0,0
72,6038.91845703125,6038.91845703125,0,0,0
73,5875.90966796875,5875.90966796875,0,0,0
74,5912.134765625,5912.134765625,0,0,0
75,5925.21728515625,5925.21728515625,0,0,0
76,5925.6357421875,5925.6357421875,0,0,0
77,5797.13671875,5797.13671875,0,0,0
78,5830.9365234375,5830.9365234375,0,0,0
79,5670.392578125,5670.392578125,0,0,0
80,5865.39208984375,5865.39208984375,0,0,0
81,5826.4990234375,5826.4990234375,0,0,0
82,5819.80517578125,5819.80517578125,0,0,0
83,5679.7978515625,5679.7978515625,0,0,0
84,5905.74609375,5905.74609375,0,0,0
85,5785.5615234375,5785.5615234375,0,0,0
86,5747.1416015625,5747.1416015625,0,0,0
87,5789.80517578125,5789.80517578125,0,0,0
88,5604.03173828125,5604.03173828125,0,0,0
89,5808.53564453125,5808.53564453125,0,0,0
90,5639.87890625,5639.87890625,0,0,0
91,5696.28173828125,5696.28173828125,0,0,0
92,5650.1162109375,5650.1162109375,0,0,0
93,5646.94921875,5646.94921875,0,0,0
94,5633.82373046875,5633.82373046875,0,0,0
95,5622.189453125,5622.189453125,0,0,0
96,5549.9638671875,5549.9638671875,0,0,0
97,5659.48046875,5659.48046875,0,0,0
98,5545.9921875,5545.9921875,0,0,0
99,5526.537109375,5526.537109375,0,0,0
100,5499.1943359375,5499.1943359375,0,0,0
101,5641.103515625,5641.103515625,0,0,0
102,5544.2802734375,5544.2802734375,0,0,0
103,5494.7978515625,5494.7978515625,0,0,0
104,5387.9462890625,5387.9462890625,0,0,0
105,5578.3408203125,5578.3408203125,0,0,0
106,5563.97119140625,5563.97119140625,0,0,0
107,5405.59423828125,5405.59423828125,0,0,0
108,5450.22802734375,5450.22802734375,0,0,0
109,5497.36474609375,5497.36474609375,0,0,0
110,5433.70458984375,5433.70458984375,0,0,0
111,5569.0439453125,5569.0439453125,0,0,0
112,5548.88232421875,5548.88232421875,0,0,0
113,5319.8798828125,5319.8798828125,0,0,0
114,5363.65869140625,5363.65869140625,0,0,0
115,5256.9150390625,5256.9150390625,0,0,0
116,5328.57861328125,5328.57861328125,0,0,0
117,5409.44921875,5409.44921875,0,0,0
118,5345.76953125,5345.76953125,0,0,0
119,5341.529296875,5341.529296875,0,0,0
120,5294.88818359375,5294.88818359375,0,0,0
121,5257.89404296875,5257.89404296875,0,0,0
122,5272.80322265625,5272.80322265625,0,0,0
123,5254.2822265625,5254.2822265625,0,0,0
124,5154.61962890625,5154.61962890625,0,0,0
125,5229.90087890625,5229.90087890625,0,0,0
126,5397.3603515625,5397.3603515625,0,0,0
127,5189.4775390625,5189.4775390625,0,0,0
128,5285.6318359375,5285.6318359375,0,0,0
129,5144.93505859375,5144.93505859375,0,0,0
130,5179.3955078125,5179.3955078125,0,0,0
131,5017.64794921875,5017.64794921875,0,0,0
132,5187.5849609375,5187.5849609375,0,0,0
133,5132.818359375,5132.818359375,0,0,0
134,5152.3515625,5152.3515625,0,0,0
135,4840.88134765625,4840.88134765625,0,0,0
136,4963.30859375,4963.30859375,0,0,0
137,5014.74755859375,5014.74755859375,0,0,0
138,5019.69580078125,5019.69580078125,0,0,0
139,5120.7958984375,5120.7958984375,0,0,0
140,4984.4462890625,4984.4462890625,0,0,0
141,4985.91650390625,4985.91650390625,0,0,0
142,4927.08203125,4927.08203125,0,0,0
143,4981.85888671875,4981.85888671875,0,0,0
144,4926.74169921875,4926.74169921875,0,0,0
145,5039.10205078125,5039.10205078125,0,0,0
146,4920.5576171875,4920.5576171875,0,0,0
147,5020.95263671875,5020.95263671875,0,0,0
148,4965.72119140625,4965.72119140625,0,0,0
149,4956.3701171875,4956.3701171875,0,0,0
150,4839.31884765625,4839.31884765625,0,0,0
151,4864.513671875,4864.513671875,0,0,0
152,4712.08935546875,4712.08935546875,0,0,0
153,4948.20166015625,4948.20166015625,0,0,0
154,4840.662109375,4840.662109375,0,0,0
155,4736.55029296875,4736.55029296875,0,0,0
156,4901.57275390625,4901.57275390625,0,0,0
157,4696.67333984375,4696.67333984375,0,0,0
158,4630.3681640625,4630.3681640625,0,0,0
159,4809.3564453125,4809.3564453125,0,0,0
160,4739.8671875,4739.8671875,0,0,0
161,4771.91259765625,4771.91259765625,0,0,0
162,4695.64697265625,4695.64697265625,0,0,0
163,4701.70068359375,4701.70068359375,0,0,0
164,4714.25390625,4714.25390625,0,0,0
165,4659.1650390625,4659.1650390625,0,0,0
166,4690.5126953125,4690.5126953125,0,0,0
167,4782.22705078125,4782.22705078125,0,0,0
168,4568.31201171875,4568.31201171875,0,0,0
169,4507.79931640625,4507.79931640625,0,0,0
170,4702.80224609375,4702.80224609375,0,0,0
171,4593.05322265625,4593.05322265625,0,0,0
172,4587.8173828125,4587.8173828125,0,0,0
173,4460.97216796875,4460.97216796875,0,0,0
174,4565.796875,4565.796875,0,0,0
175,4566.376953125,4566.376953125,0,0,0
176,4455.4736328125,4455.4736328125,0,0,0
177,4518.47607421875,4518.47607421875,0,0,0
178,4445.9072265625,4445.9072265625,0,0,0
179,4380.59375,4380.59375,0,0,0
180,4561.78076171875,4561.78076171875,0,0,0
181,4485.12939453125,4485.12939453125,0,0,0
182,4336.78564453125,4336.78564453125,0,0,0
183,4349.0458984375,4349.0458984375,0,0,0
184,4470.09423828125,4470.09423828125,0,0,0
185,4401.14697265625,4401.14697265625,0,0,0
186,4299.828125,4299.828125,0,0,0
187,4312.69775390625,4312.69775390625,0,0,0
188,4481.3447265625,4481.3447265625,0,0,0
189,4469.6943359375,4469.6943359375,0,0,0
190,4333.4970703125,4333.4970703125,0,0,0
191,4197.5673828125,4197.5673828125,0,0,0
192,4199.23046875,4199.23046875,0,0,0
193,4403.1279296875,4403.1279296875,0,0,0
194,4152.25830078125,4152.25830078125,0,0,0
195,4325.83642578125,4325.83642578125,0,0,0
196,4210.17529296875,4210.17529296875,0,0,0
197,4061.45556640625,4061.45556640625,0,0,0
198,4172.27490234375,4172.27490234375,0,0,0
199,4148.5224609375,4148.5224609375,0,0,0
200,4287.1025390625,4287.1025390625,0,0,0
201,4201.2197265625,4201.2197265625,0,0,0
202,4181.42529296875,4181.42529296875,0,0,0
203,4031.16162109375,4031.16162109375,0,0,0
204,4097.31689453125,4097.31689453125,0,0,0
205,4080.629638671875,4080.629638671875,0,0,0
206,4241.38525390625,4241.38525390625,0,0,0
