epoch,total_loss,l1_param,l2_perf_db,l3_perf_gen,sim_calls_per_epoch
0,6849.090349699321,6849.090349699321,0,0,0
1,6472.850995515522,6472.850995515522,0,0,0
2,6515.537160773027,6515.537160773027,0,0,0
3,6417.095057437295,6417.095057437295,0,0,0
4,6221.036325555098,6221.036325555098,0,0,0
5,6113.765571995786,6113.765571995786,0,0,0
6,6171.7783066598995,6171.7783066598995,0,0,0
7,5833.136562146638,5833.136562146638,0,0,0
8,5666.328329789011,5666.328329789011,0,0,0
9,5542.017772473787,5542.017772473787,0,0,0
10,5519.427122417249,5519.427122417249,0,0,0
11,5347.918460243626,5347.918460243626,0,0,0
12,5225.22432186729,5225.22432186729,0,0,0
13,5115.222282008121,5115.222282008121,0,0,0
14,4914.015803286904,4914.015803286904,0,0,0
15,4850.545765926963,4850.545765926963,0,0,0
16,4662.6783872905535,4662.6783872905535,0,0,0
17,4624.153521889134,4624.153521889134,0,0,0
18,4305.220031738281,4305.220031738281,0,0,0
19,4185.9110107421875,4185.9110107421875,0,0,0
20,3988.4269609953226,3988.4269609953226,0,0,0
21,4006.3494760613694,4006.3494760613694,0,0,0
22,3766.5426206086813,3766.5426206086813,0,0,0
23,3609.1935942800424,3609.1935942800424,0,0,0
24,3597.542525040476,3597.542525040476,0,0,0
25,3433.3569424277857,3433.3569424277857,0,0,0
26,3202.4680248059726,3202.4680248059726,0,0,0
27,3178.6723596673264,3178.6723596673264,0,0,0
28,3102.6499983135022,3102.6499983135022,0,0,0
29,2812.7361715216384,2812.7361715216384,0,0,0
30,2864.5487670898438,2864.5487670898438,0,0,0
31,2773.5628915084035,2773.5628915084035,0,0,0
32,2715.0571234853646,2715.0571234853646,0,0,0
33,2514.579997414037,2514.579997414037,0,0,0
34,2497.419708251953,2497.419708251953,0,0,0
35,2081.953222575941,2081.953222575941,0,0,0
36,2093.7210693359375,2093.7210693359375,0,0,0
37,1852.7691758808337,1852.7691758808337,0,0,0
38,1895.2334773415014,1895.2334773415014,0,0,0
39,1923.3920296116878,1923.3920296116878,0,0,0
40,1726.05424459357,1726.05424459357,0,0,0
41,1635.8573682684648,1635.8573682684648,0,0,0
42,1534.9378403111507,1534.9378403111507,0,0,0
43,1616.3366273578845,1616.3366273578845,0,0,0
44,1717.0229638752185,1717.0229638752185,0,0,0
45,1470.496266214471,1470.496266214471,0,0,0
46,1363.4679955934223,1363.4679955934223,0,0,0
47,1234.8811194771215,1234.8811194771215,0,0,0
48,1177.2017764041298,1177.2017764041298,0,0,0
49,1188.2982744919627,1188.2982744919627,0,0,0
50,1019.0356609946803,1019.0356609946803,0,0,0
51,1232.2414122631676,1232.2414122631676,0,0,0
52,1009.1324492504722,1009.1324492504722,0,0,0
53,896.0300489726819,896.0300489726819,0,0,0
54,917.0093658346879,917.0093658346879,0,0,0
55,847.2400569915771,847.2400569915771,0,0,0
56,888.4607445566278,888.4607445566278,0,0,0
57,742.2473803068463,742.2473803068463,0,0,0
58,1000.1036714252673,1000.1036714252673,0,0,0
59,683.7600352889613,683.7600352889613,0,0,0
60,632.6594472684359,632.6594472684359,0,0,0
61,636.4452575382434,636.4452575382434,0,0,0
62,534.7031363186084,534.7031363186084,0,0,0
63,597.1132425509,597.1132425509,0,0,0
64,510.38945193039746,510.38945193039746,0,0,0
65,454.44343039863986,454.44343039863986,0,0,0
66,466.4392721276534,466.4392721276534,0,0,0
67,477.42593333595676,477.42593333595676,0,0,0
68,434.22912667299573,434.22912667299573,0,0,0
69,411.74391006168565,411.74391006168565,0,0,0
70,424.52816549100373,424.52816549100373,0,0,0
71,429.8576382335864,429.8576382335864,0,0,0
72,404.46342515945435,404.46342515945435,0,0,0
73,381.6134533254724,381.6134533254724,0,0,0
74,395.10493524451005,395.10493524451005,0,0,0
75,334.63377552283436,334.63377552283436,0,0,0
76,268.58282341455157,268.58282341455157,0,0,0
77,276.6263735482567,276.6263735482567,0,0,0
78,270.3453278165114,270.3453278165114,0,0,0
79,329.9071233774486,329.9071233774486,0,0,0
80,198.47495552113182,198.47495552113182,0,0,0
81,195.93325321297897,195.93325321297897,0,0,0
82,250.19247159204986,250.19247159204986,0,0,0
83,236.8912042693088,236.8912042693088,0,0,0
84,305.8523328178807,305.8523328178807,0,0,0
85,171.0766754024907,171.0766754024907,0,0,0
86,173.82047047740534,173.82047047740534,0,0,0
87,196.1877126881951,196.1877126881951,0,0,0
88,168.14951719108382,168.14951719108382,0,0,0
89,194.72303705466422,194.72303705466422,0,0,0
90,140.86677832352487,140.86677832352487,0,0,0
91,133.8062670105382,133.8062670105382,0,0,0
92,188.97121923848204,188.97121923848204,0,0,0
93,154.05419252420725,154.05419252420725,0,0,0
94,193.7252260258323,193.7252260258323,0,0,0
95,130.91472677180641,130.91472677180641,0,0,0
96,144.04222965867896,144.04222965867896,0,0,0
97,119.68063429468556,119.68063429468556,0,0,0
98,150.08118095837142,150.08118095837142,0,0,0
99,103.7593489446138,103.7593489446138,0,0,0
100,89.33209998984086,89.33209998984086,0,0,0
101,89.32932826092369,89.32932826092369,0,0,0
102,91.00918636196538,91.00918636196538,0,0,0
103,134.3924062189303,134.3924062189303,0,0,0
104,82.19523952509228,82.19523952509228,0,0,0
105,73.03595340565631,73.03595340565631,0,0,0
106,141.9460972908296,141.9460972908296,0,0,0
107,79.15692049578617,79.15692049578617,0,0,0
108,92.58564050574051,92.58564050574051,0,0,0
109,84.01681056775544,84.01681056775544,0,0,0
110,104.10155036104352,104.10155036104352,0,0,0
111,96.28537683737905,96.28537683737905,0,0,0
112,75.7051995647581,75.7051995647581,0,0,0
113,53.15503205751118,53.15503205751118,0,0,0
114,87.27627732565529,87.27627732565529,0,0,0
115,59.27755513002998,59.27755513002998,0,0,0
116,76.48032829008605,76.48032829008605,0,0,0
117,81.81163492955659,81.81163492955659,0,0,0
118,46.34036079362819,46.34036079362819,0,0,0
119,35.38648850509995,35.38648850509995,0,0,0
120,34.292303261003994,34.292303261003994,0,0,0
121,68.3236772755259,68.3236772755259,0,0,0
122,41.41955786629727,41.41955786629727,0,0,0
123,45.98828733673221,45.98828733673221,0,0,0
124,59.9440831322419,59.9440831322419,0,0,0
125,35.07776265081606,35.07776265081606,0,0,0
126,49.57649070181345,49.57649070181345,0,0,0
127,28.062476813793182,28.062476813793182,0,0,0
128,41.44723346045143,41.44723346045143,0,0,0
129,32.114008614107185,32.114008614107185,0,0,0
130,41.205792422357355,41.205792422357355,0,0,0
131,33.485143049767146,33.485143049767146,0,0,0
132,43.43117510801867,43.43117510801867,0,0,0
133,36.76916158356165,36.76916158356165,0,0,0
134,22.406410979597194,22.406410979597194,0,0,0
135,55.509417080565505,55.509417080565505,0,0,0
136,28.352886311317747,28.352886311317747,0,0,0
137,24.2686302018793,24.2686302018793,0,0,0
138,39.56006554553383,39.56006554553383,0,0,0
139,20.20968444253269,20.20968444253269,0,0,0
140,23.469411767627065,23.469411767627065,0,0,0
141,26.633065284867037,26.633065284867037,0,0,0
142,32.493729445495106,32.493729445495106,0,0,0
143,17.630263060331345,17.630263060331345,0,0,0
144,16.355905206579912,16.355905206579912,0,0,0
145,44.75486606830045,44.75486606830045,0,0,0
146,19.959689961452234,19.959689961452234,0,0,0
147,34.95855818532015,34.95855818532015,0,0,0
148,15.675682859985452,15.675682859985452,0,0,0
149,20.26754566007539,20.26754566007539,0,0,0
150,25.591481938958168,25.591481938958168,0,0,0
151,19.0099592687268,19.0099592687268,0,0,0
152,25.204647026563947,25.204647026563947,0,0,0
153,21.105400919129973,21.105400919129973,0,0,0
154,20.066701122412557,20.066701122412557,0,0,0
155,20.65726058812518,20.65726058812518,0,0,0
156,16.108473960506288,16.108473960506288,0,0,0
157,19.80572692657772,19.80572692657772,0,0,0
158,14.021292339814337,14.021292339814337,0,0,0
159,17.892262472133886,17.892262472133886,0,0,0
160,9.924489347558273,9.924489347558273,0,0,0
161,15.410929421060963,15.410929421060963,0,0,0
162,14.347088836525616,14.347088836525616,0,0,0
163,17.010000614743483,17.010000614743483,0,0,0
164,15.092863735399748,15.092863735399748,0,0,0
165,19.438986424944904,19.438986424944904,0,0,0
166,12.290096726856733,12.290096726856733,0,0,0
167,8.446711711193386,8.446711711193386,0,0,0
168,11.94756172440554,11.94756172440554,0,0,0
169,9.619732420695456,9.619732420695456,0,0,0
170,7.952880729185908,7.952880729185908,0,0,0
171,12.389965299712983,12.389965299712983,0,0,0
172,13.16293921360844,13.16293921360844,0,0,0
173,14.742979961398401,14.742979961398401,0,0,0
174,12.227798087032218,12.227798087032218,0,0,0
175,10.172270391724611,10.172270391724611,0,0,0
176,10.627412019591583,10.627412019591583,0,0,0
177,8.495371355822211,8.495371355822211,0,0,0
178,13.970424376820263,13.970424376820263,0,0,0
179,9.613732062672314,9.613732062672314,0,0,0
180,6.428858752313413,6.428858752313413,0,0,0
181,8.440275668313628,8.440275668313628,0,0,0
182,7.977461842329879,7.977461842329879,0,0,0
183,7.8912463956757595,7.8912463956757595,0,0,0
184,7.908735130178301,7.908735130178301,0,0,0
185,7.412436341376681,7.412436341376681,0,0,0
186,6.303679628591788,6.303679628591788,0,0,0
187,9.41956241899415,9.41956241899415,0,0,0
188,6.147587139355509,6.147587139355509,0,0,0
189,6.053988580640993,6.053988580640993,0,0,0
190,10.254257865642247,10.254257865642247,0,0,0
191,8.258718839993602,8.258718839993602,0,0,0
192,4.583559480936904,4.583559480936904,0,0,0
193,9.018807191597787,9.018807191597787,0,0,0
194,9.260518959870463,9.260518959870463,0,0,0
195,5.465965949783199,5.465965949783199,0,0,0
196,7.025415344850013,7.025415344850013,0,0,0
197,4.187069589762311,4.187069589762311,0,0,0
198,10.745593936819779,10.745593936819779,0,0,0
199,6.830997983483892,6.830997983483892,0,0,0
200,4.391720882371852,4.391720882371852,0,0,0
201,3.0600600438682655,3.0600600438682655,0,0,0
202,3.2749571561029085,3.2749571561029085,0,0,0
203,2.9104369984645593,2.9104369984645593,0,0,0
204,3.7326839519174477,3.7326839519174477,0,0,0
205,7.857891106291821,7.857891106291821,0,0,0
206,3.403838638412325,3.403838638412325,0,0,0
207,4.802909723237941,4.802909723237941,0,0,0
208,3.128406183892175,3.128406183892175,0,0,0
209,4.2572535707762365,4.2572535707762365,0,0,0
210,5.3988143562486295,5.3988143562486295,0,0,0
211,5.401007985598163,5.401007985598163,0,0,0
212,6.88243304271447,6.88243304271447,0,0,0
213,3.169374908271589,3.169374908271589,0,0,0
214,2.973808410920595,2.973808410920595,0,0,0
215,3.258255046841345,3.258255046841345,0,0,0
216,3.106018039741014,3.106018039741014,0,0,0
217,3.1964880114323213,3.1964880114323213,0,0,0
218,3.1640358896631944,3.1640358896631944,0,0,0
219,3.5907568151229308,3.5907568151229308,0,0,0
220,4.457583398411148,4.457583398411148,0,0,0
221,5.490482591484723,5.490482591484723,0,0,0
222,4.0006349259301235,4.0006349259301235,0,0,0
223,3.266174408166032,3.266174408166032,0,0,0
224,4.4804144525214245,4.4804144525214245,0,0,0
225,3.254786703539522,3.254786703539522,0,0,0
226,2.5317923465841696,2.5317923465841696,0,0,0
227,3.5090717202738713,3.5090717202738713,0,0,0
228,2.207593656684223,2.207593656684223,0,0,0
229,4.439444191361728,4.439444191361728,0,0,0
230,3.435194178631431,3.435194178631431,0,0,0
231,2.137364816508795,2.137364816508795,0,0,0
232,2.475630085719259,2.475630085719259,0,0,0
233,4.055962769608748,4.055962769608748,0,0,0
234,1.9959077748813128,1.9959077748813128,0,0,0
235,1.6079564078858024,1.6079564078858024,0,0,0
236,1.1588222478565418,1.1588222478565418,0,0,0
237,1.8816627224809246,1.8816627224809246,0,0,0
238,1.867818197529567,1.867818197529567,0,0,0
239,2.482491717918923,2.482491717918923,0,0,0
240,2.2151998606951615,2.2151998606951615,0,0,0
241,1.1758016434155012,1.1758016434155012,0,0,0
242,6.26407005833952,6.26407005833952,0,0,0
243,3.1013457273182117,3.1013457273182117,0,0,0
244,3.0214813551620434,3.0214813551620434,0,0,0
245,3.5482985636121347,3.5482985636121347,0,0,0
246,2.460125019675807,2.460125019675807,0,0,0
247,1.4795798639717854,1.4795798639717854,0,0,0
248,1.0597221557247012,1.0597221557247012,0,0,0
249,2.3977754449373796,2.3977754449373796,0,0,0
250,1.2121172155204571,1.2121172155204571,0,0,0
251,1.2803704562155824,1.2803704562155824,0,0,0
252,1.51764084163465,1.51764084163465,0,0,0
253,2.059969418142971,2.059969418142971,0,0,0
254,2.399459093809128,2.399459093809128,0,0,0
255,2.714385732224113,2.714385732224113,0,0,0
256,1.3210004481830095,1.3210004481830095,0,0,0
257,1.1612228049259437,1.1612228049259437,0,0,0
258,1.3372342468876588,1.3372342468876588,0,0,0
259,2.03211733502777,2.03211733502777,0,0,0
260,0.8429656973794887,0.8429656973794887,0,0,0
261,0.9712647046697768,0.9712647046697768,0,0,0
262,0.8132406492766581,0.8132406492766581,0,0,0
263,1.4368545064016391,1.4368545064016391,0,0,0
264,1.6589095557206555,1.6589095557206555,0,0,0
265,0.8872051556643686,0.8872051556643686,0,0,0
266,1.6104441473358555,1.6104441473358555,0,0,0
267,1.697929033323338,1.697929033323338,0,0,0
268,1.7384779445434873,1.7384779445434873,0,0,0
269,1.4127687129535174,1.4127687129535174,0,0,0
270,1.6124010137037228,1.6124010137037228,0,0,0
271,2.366963556722591,2.366963556722591,0,0,0
272,1.1989128981765949,1.1989128981765949,0,0,0
273,0.6537002677980223,0.6537002677980223,0,0,0
274,1.0896345063259727,1.0896345063259727,0,0,0
275,0.9430435092041367,0.9430435092041367,0,0,0
276,0.7367520685258665,0.7367520685258665,0,0,0
277,2.2714414671063423,2.2714414671063423,0,0,0
278,1.0532233891518492,1.0532233891518492,0,0,0
279,1.8495607101603557,1.8495607101603557,0,0,0
280,0.6107404718273565,0.6107404718273565,0,0,0
281,0.7023622068135362,0.7023622068135362,0,0,0
282,1.1723774546071102,1.1723774546071102,0,0,0
283,0.7487228367673723,0.7487228367673723,0,0,0
284,1.6206367956964594,1.6206367956964594,0,0,0
285,1.505453446978017,1.505453446978017,0,0,0
286,0.5345723095693087,0.5345723095693087,0,0,0
287,1.0874333444394564,1.0874333444394564,0,0,0
288,1.5522855406529026,1.5522855406529026,0,0,0
289,0.868410188900797,0.868410188900797,0,0,0
290,0.6638069811620211,0.6638069811620211,0,0,0
291,1.0981905577998412,1.0981905577998412,0,0,0
292,0.8641534506490356,0.8641534506490356,0,0,0
293,1.7482370342078961,1.7482370342078961,0,0,0
294,0.7061839178204536,0.7061839178204536,0,0,0
295,0.9820621782227567,0.9820621782227567,0,0,0
296,0.7913148105144501,0.7913148105144501,0,0,0
297,0.5556561099855524,0.5556561099855524,0,0,0
298,0.7946325101350483,0.7946325101350483,0,0,0
299,0.8236682587548306,0.8236682587548306,0,0,0
300,0.8150599881222373,0.8150599881222373,0,0,0
301,0.5690947865184984,0.5690947865184984,0,0,0
302,0.5282449400738666,0.5282449400738666,0,0,0
303,0.7288783514185956,0.7288783514185956,0,0,0
304,0.884166559498561,0.884166559498561,0,0,0
305,0.5723290455184484,0.5723290455184484,0,0,0
306,0.74018468511732,0.74018468511732,0,0,0
