epoch,total_loss,l1_param,l2_perf_db,l3_perf_gen,sim_calls_per_epoch
0,6662.894430060136,6662.894430060136,0,0,0
1,6236.289319490132,6236.289319490132,0,0,0
2,6235.426579927143,6235.426579927143,0,0,0
3,6035.699119166324,6035.699119166324,0,0,0
4,6089.884531723826,6089.884531723826,0,0,0
5,5831.26563463713,5831.26563463713,0,0,0
6,5708.771747789885,5708.771747789885,0,0,0
7,5491.150218762849,5491.150218762849,0,0,0
8,5458.130941290605,5458.130941290605,0,0,0
9,5278.073456613641,5278.073456613641,0,0,0
10,5239.183984856856,5239.183984856856,0,0,0
11,5115.5858387194185,5115.5858387194185,0,0,0
12,4900.299073068719,4900.299073068719,0,0,0
13,4928.111951326069,4928.111951326069,0,0,0
14,4880.064328645405,4880.064328645405,0,0,0
15,4676.336651049162,4676.336651049162,0,0,0
16,4622.850281564813,4622.850281564813,0,0,0
17,4240.365417480469,4240.365417480469,0,0,0
18,4279.748672083804,4279.748672083804,0,0,0
19,4058.75857865183,4058.75857865183,0,0,0
20,3844.0797271728516,3844.0797271728516,0,0,0
21,3753.648271661056,3753.648271661056,0,0,0
22,3338.064339888723,3338.064339888723,0,0,0
23,3550.2769574617087,3550.2769574617087,0,0,0
24,3279.2272077861585,3279.2272077861585,0,0,0
25,3201.5854612651624,3201.5854612651624,0,0,0
26,2907.217781869989,2907.217781869989,0,0,0
27,2928.7226347672313,2928.7226347672313,0,0,0
28,2625.8053785625257,2625.8053785625257,0,0,0
29,2548.141053852282,2548.141053852282,0,0,0
30,2267.6633075914883,2267.6633075914883,0,0,0
31,2235.466951872173,2235.466951872173,0,0,0
32,2299.5613511738024,2299.5613511738024,0,0,0
33,2055.2636433651573,2055.2636433651573,0,0,0
34,1807.5358127794768,1807.5358127794768,0,0,0
35,1863.2437832480982,1863.2437832480982,0,0,0
36,1709.4337593881708,1709.4337593881708,0,0,0
37,1742.210513466283,1742.210513466283,0,0,0
38,1809.6736907958984,1809.6736907958984,0,0,0
39,1438.8606639661286,1438.8606639661286,0,0,0
40,1354.9594108179997,1354.9594108179997,0,0,0
41,1261.488843315526,1261.488843315526,0,0,0
42,1172.9882199136835,1172.9882199136835,0,0,0
43,1126.8226028241609,1126.8226028241609,0,0,0
44,1033.6592083981163,1033.6592083981163,0,0,0
45,880.8023830213045,880.8023830213045,0,0,0
46,1026.0729963402998,1026.0729963402998,0,0,0
47,943.0387337333277,943.0387337333277,0,0,0
48,990.9037655278256,990.9037655278256,0,0,0
49,800.032263203671,800.032263203671,0,0,0
50,729.4482451991031,729.4482451991031,0,0,0
51,807.9164120021619,807.9164120021619,0,0,0
52,624.8788662960654,624.8788662960654,0,0,0
53,661.2855797817832,661.2855797817832,0,0,0
54,546.85506454267,546.85506454267,0,0,0
55,454.44688882325823,454.44688882325823,0,0,0
56,579.4242381547626,579.4242381547626,0,0,0
57,536.4558806168405,536.4558806168405,0,0,0
58,564.553982985647,564.553982985647,0,0,0
59,524.4368158641614,524.4368158641614,0,0,0
60,452.4591457969264,452.4591457969264,0,0,0
61,381.4038003620349,381.4038003620349,0,0,0
62,510.5872543736508,510.5872543736508,0,0,0
63,508.4096959264655,508.4096959264655,0,0,0
64,396.3317267643778,396.3317267643778,0,0,0
65,347.2048583281668,347.2048583281668,0,0,0
66,251.26223990791723,251.26223990791723,0,0,0
67,283.4096026922527,283.4096026922527,0,0,0
68,350.3422644514787,350.3422644514787,0,0,0
69,252.3460901410956,252.3460901410956,0,0,0
70,291.0515823238774,291.0515823238774,0,0,0
71,315.6189004496524,315.6189004496524,0,0,0
72,248.08367411713851,248.08367411713851,0,0,0
73,230.27103286040457,230.27103286040457,0,0,0
74,211.7661661097878,211.7661661097878,0,0,0
75,205.85118691544784,205.85118691544784,0,0,0
76,187.3621588380713,187.3621588380713,0,0,0
77,176.8135765602714,176.8135765602714,0,0,0
78,205.35292468572916,205.35292468572916,0,0,0
79,134.12091154801217,134.12091154801217,0,0,0
80,213.0617104329561,213.0617104329561,0,0,0
81,161.31661791550485,161.31661791550485,0,0,0
82,142.5972237586975,142.5972237586975,0,0,0
83,157.62909583041542,157.62909583041542,0,0,0
84,167.6528460226561,167.6528460226561,0,0,0
85,157.032088819303,157.032088819303,0,0,0
86,165.789719255347,165.789719255347,0,0,0
87,137.42729008197784,137.42729008197784,0,0,0
88,156.44376192594828,156.44376192594828,0,0,0
89,137.90152707225397,137.90152707225397,0,0,0
90,79.82192237753617,79.82192237753617,0,0,0
91,116.54989753898822,116.54989753898822,0,0,0
92,109.07354440814571,109.07354440814571,0,0,0
93,97.28511197943436,97.28511197943436,0,0,0
94,94.18780902184938,94.18780902184938,0,0,0
95,91.00729020645744,91.00729020645744,0,0,0
96,75.0936209465328,75.0936209465328,0,0,0
97,72.36079754327473,72.36079754327473,0,0,0
98,102.0423012281719,102.0423012281719,0,0,0
99,64.17821626600467,64.17821626600467,0,0,0
100,93.4568628198222,93.4568628198222,0,0,0
101,51.00497135676836,51.00497135676836,0,0,0
102,64.06409683666732,64.06409683666732,0,0,0
103,88.75281603712784,88.75281603712784,0,0,0
104,48.299627589552024,48.299627589552024,0,0,0
105,54.386408244308676,54.386408244308676,0,0,0
106,35.409475219877145,35.409475219877145,0,0,0
107,48.16934887515871,48.16934887515871,0,0,0
108,47.44419080960123,47.44419080960123,0,0,0
109,43.18707639606375,43.18707639606375,0,0,0
110,68.97580311957158,68.97580311957158,0,0,0
111,76.01029752430163,76.01029752430163,0,0,0
112,51.540609202886884,51.540609202886884,0,0,0
113,51.96646746365648,51.96646746365648,0,0,0
114,56.35309700746285,56.35309700746285,0,0,0
115,26.964369472704437,26.964369472704437,0,0,0
116,41.81922909068434,41.81922909068434,0,0,0
117,41.273829193491686,41.273829193491686,0,0,0
118,31.27322348795439,31.27322348795439,0,0,0
119,35.19320553698038,35.19320553698038,0,0,0
